transaction_id,beneficiary_ref,scheme,amount,transaction_date,withdrawn,withdrawal_channel,device_id,time_to_withdraw_hours
1111111111,26732,PMAY,11099.75,2026-04-28 15:31:44,True,AEPS,,61.45
1111111112,14733,PMAY,11460.51,2026-04-01 08:38:21,True,Online,DEV0136,100.77
1111111113,2659,PMAY,10252.86,2026-04-01 22:13:06,True,ATM,,69.04
1111111114,41417,MGNREGA,11108.62,2026-04-07 07:54:54,True,Bank,,55.41
1111111115,21409,MGNREGA,11148.73,2026-04-05 17:42:40,True,Online,DEV0172,100.87
1111111116,23568,PMAY,11579.56,2026-04-15 01:08:06,True,Online,DEV0179,99.8
1111111117,12655,MGNREGA,10101.81,2026-04-23 21:11:23,True,ATM,,87.45
1111111118,28139,PMAY,10243.95,2026-04-30 09:18:01,True,ATM,,76.44
1111111119,41389,MGNREGA,10338.88,2026-04-27 18:48:28,True,AEPS,,75.52
1111111120,30178,PM-KISAN,11848.02,2026-04-13 18:05:53,True,ATM,,81.14
1111111121,2594,MGNREGA,11654.29,2026-04-24 18:55:38,True,Online,DEV0097,115.76
1111111122,20723,PMAY,11669.78,2026-04-23 21:53:42,True,AEPS,,60.7
1111111123,31346,MGNREGA,11472.78,2026-04-30 02:17:16,True,AEPS,,5.4
1111111124,28237,PM-KISAN,11544.42,2026-04-16 09:00:21,True,ATM,,48.36
1111111125,43012,PM-KISAN,10798.39,2026-04-28 14:48:52,True,Bank,,84.94
1111111126,5315,MGNREGA,11963.18,2026-04-15 22:03:00,True,ATM,,97.46
1111111127,49239,PM-KISAN,11912.72,2026-04-20 01:50:32,True,Online,DEV0134,58.76
1111111128,12950,PMAY,11902.75,2026-04-14 08:16:52,True,ATM,,103.21
1111111129,28952,PM-KISAN,11940.42,2026-04-29 17:13:35,True,AEPS,,113.17
1111111130,41513,PM-KISAN,11596.67,2026-04-21 13:48:00,True,Online,DEV0094,92.28
1111111131,34293,MGNREGA,10007.11,2026-04-08 08:06:59,True,Online,DEV0130,110.62
1111111132,37418,PM-KISAN,10491.65,2026-04-15 18:56:05,True,Online,DEV0103,51.62
1111111133,40239,MGNREGA,10836.99,2026-04-20 15:45:38,True,AEPS,,96.32
1111111134,37640,PMAY,10407.25,2026-04-22 13:02:57,False,Online,DEV0145,87.87
1111111135,27225,PMAY,10880.43,2026-04-01 02:11:40,False,ATM,,99.06
1111111136,36132,PMAY,10167.31,2026-04-20 02:17:15,True,Bank,,106.81
1111111137,40924,PM-KISAN,11679.97,2026-04-03 12:37:51,True,AEPS,,84.94
1111111138,16202,PMAY,10085.67,2026-04-19 12:49:16,True,Bank,,49.07
1111111139,33315,MGNREGA,10504.16,2026-04-21 22:39:42,True,Online,DEV0145,91.03
1111111140,31554,MGNREGA,10374.4,2026-04-04 14:38:04,True,AEPS,,102.98
1111111141,46796,MGNREGA,10507.38,2026-04-29 16:15:42,True,Online,DEV0183,100.75
1111111142,39435,MGNREGA,10679.32,2026-04-29 06:34:15,True,Online,DEV0129,49.93
1111111143,8852,MGNREGA,10593.15,2026-04-10 17:28:38,True,ATM,,102.36
1111111144,19045,PMAY,11986.57,2026-04-05 07:57:14,True,Bank,,80.3
1111111145,41006,MGNREGA,10611.94,2026-04-29 23:47:46,True,Bank,,74.2
1111111146,9132,MGNREGA,10880.18,2026-04-23 22:43:18,True,Bank,,110.4
1111111147,7126,PM-KISAN,11022.09,2026-04-06 17:58:09,True,Bank,,49.3
1111111148,36814,PMAY,11822.09,2026-04-16 05:55:05,True,ATM,,54.89
1111111149,28906,PMAY,10440.68,2026-04-11 17:48:31,True,Online,DEV0159,52.07
1111111150,35750,PM-KISAN,10572.11,2026-04-27 13:54:27,True,Bank,,71.11
1111111151,34001,PM-KISAN,11133.96,2026-04-19 21:48:22,True,Online,DEV0121,49.32
1111111152,7898,PMAY,10695.72,2026-04-12 18:02:06,True,Bank,,95.16
1111111153,29719,PM-KISAN,10476.38,2026-04-17 17:53:40,True,Bank,,64.09
1111111154,37248,PMAY,11013.34,2026-04-26 09:47:00,True,AEPS,,113.94
1111111155,31677,MGNREGA,11779.64,2026-04-06 08:33:36,True,Bank,,92.2
1111111156,18205,MGNREGA,11101.17,2026-04-11 14:46:29,True,Bank,,70.56
1111111157,23475,MGNREGA,10349.62,2026-04-22 05:39:51,True,AEPS,,105.04
1111111158,44206,PM-KISAN,11708.12,2026-04-24 21:21:55,True,ATM,,105.73
1111111159,7340,PMAY,10921.22,2026-04-11 03:47:29,True,AEPS,,106.45
1111111160,39016,PMAY,10024.44,2026-04-10 22:38:25,True,ATM,,92.42
1111111161,986,PM-KISAN,11858.34,2026-04-04 05:11:26,True,Online,DEV0180,58.91
1111111162,25202,MGNREGA,10373.08,2026-04-25 22:41:38,True,AEPS,,104.28
1111111163,38688,MGNREGA,11160.17,2026-04-21 16:11:26,True,AEPS,,81.84
1111111164,23347,PMAY,11174.22,2026-04-20 05:10:13,True,ATM,,81.59
1111111165,9942,PMAY,11766.29,2026-04-09 09:12:00,True,ATM,,112.43
1111111166,17158,PM-KISAN,11546.21,2026-04-02 11:05:01,True,ATM,,86.87
1111111167,40440,PMAY,11872.06,2026-04-05 15:48:55,True,ATM,,80.29
1111111168,46395,MGNREGA,10896.3,2026-04-29 04:25:27,True,AEPS,,81.39
1111111169,17735,PM-KISAN,10729.21,2026-04-07 22:15:25,True,Bank,,64.39
1111111170,42179,PMAY,11420.66,2026-04-27 21:24:21,True,Bank,,114.73
1111111171,1877,PMAY,11888.87,2026-04-01 17:52:30,True,AEPS,,50.5
1111111172,39368,MGNREGA,11906.65,2026-04-07 14:36:38,True,Bank,,64.66
1111111173,38686,PMAY,11879.45,2026-04-03 14:13:46,True,AEPS,,63.65
1111111174,33823,PM-KISAN,10647.0,2026-04-26 15:00:45,True,ATM,,102.14
1111111175,2936,PMAY,11742.32,2026-04-01 07:55:31,True,AEPS,,62.35
1111111176,44594,MGNREGA,11944.59,2026-04-06 01:34:58,True,Bank,,88.88
1111111177,5689,PM-KISAN,10514.52,2026-04-12 02:34:00,True,ATM,,90.66
1111111178,19005,MGNREGA,10204.11,2026-04-13 11:22:28,True,Online,DEV0138,96.22
1111111179,48898,PM-KISAN,10437.62,2026-04-24 16:02:10,True,ATM,,113.5
1111111180,38303,PM-KISAN,10350.61,2026-04-09 08:08:45,True,AEPS,,73.25
1111111181,10550,PM-KISAN,11587.17,2026-04-08 14:17:46,True,AEPS,,53.2
1111111182,43065,PM-KISAN,10257.19,2026-04-21 11:05:53,True,Online,DEV0009,115.26
1111111183,6831,MGNREGA,10924.49,2026-04-04 08:29:47,True,Online,DEV0003,66.79
1111111184,2606,MGNREGA,10675.46,2026-04-02 02:20:05,True,Bank,,56.24
1111111185,12617,PM-KISAN,11368.63,2026-04-29 18:11:42,True,Bank,,67.19
1111111186,42945,MGNREGA,10273.82,2026-04-21 05:23:59,True,AEPS,,57.71
1111111187,48374,MGNREGA,11550.98,2026-04-20 16:33:44,True,Bank,,8.07
1111111188,27622,PM-KISAN,10568.13,2026-04-04 03:43:24,True,Online,DEV0028,57.3
1111111189,20109,MGNREGA,11306.03,2026-04-02 06:51:58,True,Online,DEV0015,67.75
1111111190,26871,PMAY,11377.82,2026-04-30 02:32:11,True,Online,DEV0141,72.93
1111111191,8213,PM-KISAN,11397.66,2026-04-03 03:02:50,True,AEPS,,100.61
1111111192,18665,PM-KISAN,10087.3,2026-04-21 03:53:24,True,AEPS,,102.82
1111111193,34487,MGNREGA,11294.62,2026-04-20 06:37:45,True,ATM,,75.55
1111111194,23473,PM-KISAN,11172.53,2026-04-23 03:32:08,True,Bank,,84.01
1111111195,2674,PM-KISAN,11205.24,2026-04-08 00:15:44,True,Online,DEV0074,82.96
1111111196,30014,PM-KISAN,10112.21,2026-04-17 06:01:18,True,Online,DEV0034,91.15
1111111197,37723,MGNREGA,11626.81,2026-04-11 23:11:44,True,Online,DEV0118,89.96
1111111198,45417,PM-KISAN,11146.84,2026-04-15 16:58:03,True,AEPS,,78.31
1111111199,36696,MGNREGA,10364.23,2026-04-14 13:14:39,True,Online,DEV0174,95.84
1111111200,35504,PM-KISAN,11622.17,2026-04-04 13:13:35,True,Bank,,78.49
1111111201,41098,PMAY,10611.24,2026-04-20 16:34:33,True,Bank,,81.6
1111111202,43681,PMAY,10578.47,2026-04-14 17:31:13,True,ATM,,101.63
1111111203,3431,PMAY,11989.58,2026-04-24 17:10:12,True,AEPS,,58.45
1111111204,31981,PMAY,11913.89,2026-04-13 16:42:00,True,Bank,,3.37
1111111205,5202,PMAY,10622.58,2026-04-29 02:57:25,True,Online,DEV0013,104.89
1111111206,45537,PM-KISAN,11381.07,2026-04-16 22:11:18,True,ATM,,59.62
1111111207,46356,PMAY,10309.81,2026-04-05 18:45:11,True,ATM,,61.6
1111111208,25788,PMAY,11521.2,2026-04-27 16:21:19,True,Bank,,95.35
1111111209,47190,MGNREGA,11624.62,2026-04-03 02:21:09,True,Bank,,76.0
